,title_pt,title_en,title_polarity,title_subjectivity,sentiment_class
167,bom,bom,0.4,0.0,positive
168,entrega antes prazo,delivery before deadline,0.0,0.0,neutral
169,bom,bom,0.4,0.0,positive
170,atraso data entrega,delivery date delay,0.0,0.0,neutral
171,rápida entrega,quick delivery,0.3333333333333333,0.5,positive
172,excelente,great,0.8,0.75,positive
173,entrega feita sucesso,successful delivery,0.75,0.95,positive
174,ótimo,excellent,1.0,1.0,positive
175,agilidade,agility,0.0,0.0,neutral
176,excelente,great,0.8,0.75,positive
177,bom acabamento,good finish,0.7,0.6000000000000001,positive
178,recomendo bom,I recommend good,0.7,0.6000000000000001,positive
179,recomendo,I recommend,0.0,0.0,neutral
180,super satisfeito,super satisfied,0.41666666666666663,0.8333333333333333,positive
181,balancim,rocker,0.0,0.0,neutral
182,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
183,perfeito,Perfect,1.0,1.0,positive
184,bom cofre,good safe,0.6,0.55,positive
185,mto bom,very good,0.9099999999999999,0.7800000000000001,positive
186,x,x,0.0,0.0,neutral
187,ótimo produto,great product,0.8,0.75,positive
188,bom,bom,0.4,0.0,positive
189,troca devolução,exchange return,0.0,0.0,neutral
190,ótimo,excellent,1.0,1.0,positive
191,bom acabamento,good finish,0.7,0.6000000000000001,positive
192,boa loja,good shop,0.7,0.6000000000000001,positive
193,bom,bom,0.4,0.0,positive
194,targaryen,targaryen,0.0,0.0,neutral
195,mercadoria entregue,goods delivered,0.0,0.0,neutral
196,otimo,great,0.8,0.75,positive
197,bom,bom,0.4,0.0,positive
198,recomendo,I recommend,0.0,0.0,neutral
199,bom,bom,0.4,0.0,positive
200,recomendo,I recommend,0.0,0.0,neutral
201,produto errado,wrong product,-0.5,0.9,negative
202,entrega super rápida,super fast delivery,0.26666666666666666,0.6333333333333333,neutral
203,super aprovado,super approved,0.3333333333333333,0.6666666666666666,positive
204,produto veio diferente,product came different,0.0,0.6,neutral
205,recomendo,I recommend,0.0,0.0,neutral
206,bom,bom,0.4,0.0,positive
207,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
208,entrega antes previsto,delivery ahead of schedule,0.0,0.0,neutral
209,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
210,otimo,great,0.8,0.75,positive
211,kit festa,party kit,0.0,0.0,neutral
212,recomendo,I recommend,0.0,0.0,neutral
213,bom,bom,0.4,0.0,positive
214,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
215,recebi,I received,0.0,0.0,neutral
216,ótimo,excellent,1.0,1.0,positive
217,ótimo,excellent,1.0,1.0,positive
218,paga recebe,pay receive,0.0,0.0,neutral
219,excelente,great,0.8,0.75,positive
220,recomendo sim,yes I recommend,0.0,0.0,neutral
221,desta compra gostei,I liked this purchase,0.6,0.8,positive
222,ótimo,excellent,1.0,1.0,positive
223,satisfeito,pleased,0.5,1.0,positive
224,capa veio cor errada,cover came wrong color,-0.5,0.9,negative
225,bom,bom,0.4,0.0,positive
226,otima,kidnaps,0.0,0.0,neutral
227,gostei produto,I liked the product,0.6,0.8,positive
228,rápido preciso,fast accurate,0.30000000000000004,0.6166666666666667,positive
229,excelente,great,0.8,0.75,positive
230,bom,bom,0.4,0.0,positive
231,bom,bom,0.4,0.0,positive
232,bom,bom,0.4,0.0,positive
233,otima,kidnaps,0.0,0.0,neutral
234,recomendo,I recommend,0.0,0.0,neutral
235,bom produto,good product,0.7,0.6000000000000001,positive
236,top,top,0.5,0.5,positive
237,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
238,recomendo,I recommend,0.0,0.0,neutral
239,ótimo atendimento,great service,0.8,0.75,positive
240,gostei experiência,I liked experience,0.6,0.8,positive
241,produto diferente,different product,0.0,0.6,neutral
242,recomendo,I recommend,0.0,0.0,neutral
243,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
244,recomendo,I recommend,0.0,0.0,neutral
245,ótimo produto,great product,0.8,0.75,positive
246,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
247,super revcomendo,super revcomendo,0.3333333333333333,0.6666666666666666,positive
248,frete desproporcional,disproportionate freight,0.0,0.0,neutral
249,ok,ok,0.5,0.5,positive
250,ótimo,excellent,1.0,1.0,positive
251,bom,bom,0.4,0.0,positive
252,péssimo atendimento,terrible attendance,-1.0,1.0,negative
253,ótima,excellent,1.0,1.0,positive
254,produto bom,good product,0.7,0.6000000000000001,positive
255,recomendo,I recommend,0.0,0.0,neutral
256,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
257,parabéns,Happy birthday,0.8,1.0,positive
258,produto bom,good product,0.7,0.6000000000000001,positive
259,tudo dentro combinado,all in combined,0.0,0.0,neutral
260,ótima,excellent,1.0,1.0,positive
261,perfeito,Perfect,1.0,1.0,positive
262,maravilhoso super lindo,wonderful super beautiful,0.7277777777777777,0.8888888888888888,positive
263,ótimo produto,great product,0.8,0.75,positive
264,produto mal feito,poorly made product,-0.4,0.6,negative
265,produto defeito,defect product,0.0,0.0,neutral
266,ótimo produto,great product,0.8,0.75,positive
267,recomendo,I recommend,0.0,0.0,neutral
268,recomendo,I recommend,0.0,0.0,neutral
269,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
270,bom,bom,0.4,0.0,positive
271,super,super,0.3333333333333333,0.6666666666666666,positive
272,boa,boa,0.4,0.0,positive
273,informação preocupada,concerned information,0.0,0.0,neutral
274,diferente,different,0.0,0.6,neutral
275,horrível,horrible,-1.0,1.0,negative
276,recomendo,I recommend,0.0,0.0,neutral
277,produto prazo,deadline product,0.0,0.0,neutral
278,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
279,regular,regular,0.0,0.07692307692307693,neutral
280,sempre cumprindo prazos,always meeting deadlines,0.0,0.0,neutral
281,recomendo,I recommend,0.0,0.0,neutral
282,ótimo,excellent,1.0,1.0,positive
283,recomendo,I recommend,0.0,0.0,neutral
284,bom,bom,0.4,0.0,positive
285,chegou,has arrived,0.0,0.0,neutral
286,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
287,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
288,bom,bom,0.4,0.0,positive
289,recomendo bom,I recommend good,0.7,0.6000000000000001,positive
290,recomendável,recommendable,0.0,0.0,neutral
291,satisfeita,satisfied,0.5,1.0,positive
292,excelente,great,0.8,0.75,positive
293,boa,boa,0.4,0.0,positive
294,bom,bom,0.4,0.0,positive
295,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
296,comprei chegou,bought arrived,0.0,0.0,neutral
297,ótimo,excellent,1.0,1.0,positive
298,satisfeita,satisfied,0.5,1.0,positive
299,ótimo,excellent,1.0,1.0,positive
300,bom,bom,0.4,0.0,positive
301,recebi produto errado,I received wrong product,-0.5,0.9,negative
302,excelente joja,excellent dipstick,1.0,1.0,positive
303,,,,,0
304,primo valiacao,first valiacao,0.25,0.3333333333333333,neutral
305,bom,bom,0.4,0.0,positive
306,excelente,great,0.8,0.75,positive
307,bom barato,good cheap,0.55,0.65,positive
308,qualidade pior camelô,worst quality street vendor,-1.0,1.0,negative
309,ruim,roomy,0.0,0.0,neutral
310,otimo,great,0.8,0.75,positive
311,super recomendo loja,I highly recommend the store,0.16,0.5399999999999999,neutral
312,gostei,I liked,0.6,0.8,positive
313,recomendo,I recommend,0.0,0.0,neutral
314,ótima loja,great store,0.8,0.75,positive
315,,,,,0
316,composição diferente,different composition,0.0,0.6,neutral
317,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
318,péssimo serviço,bad service,-0.6999999999999998,0.6666666666666666,negative
319,tristeza,sadness,0.0,0.0,neutral
320,papel parede,wallpaper,0.0,0.0,neutral
321,solicitei devolução,I requested return,0.0,0.0,neutral
322,bom,bom,0.4,0.0,positive
323,recomendo,I recommend,0.0,0.0,neutral
324,recomendavel,recommendable,0.0,0.0,neutral
325,satisfação,satisfaction,0.0,0.0,neutral
326,ótimo,excellent,1.0,1.0,positive
327,nao esperado,not expected,0.05,0.4,neutral
328,excelente,great,0.8,0.75,positive
329,colcha,quilt,0.0,0.0,neutral
330,otimo,great,0.8,0.75,positive
331,rápido entrega,fast delivery,0.2,0.6,neutral
332,,,,,0
333,bom,bom,0.4,0.0,positive
334,ótimo produto,great product,0.8,0.75,positive
335,parcial,partial,-0.1,0.3,negative
336,recomendo,I recommend,0.0,0.0,neutral
337,nota,use,0.0,0.0,neutral
338,satisfação,satisfaction,0.0,0.0,neutral
339,ótima qualidade,great quality,0.8,0.75,positive
340,otimo,great,0.8,0.75,positive
341,entrega rápida,fast delivery,0.2,0.6,neutral
342,recomendo,I recommend,0.0,0.0,neutral
343,recomendo,I recommend,0.0,0.0,neutral
344,entrega produto,product delivery,0.0,0.0,neutral
345,mini receptor tv digit,mini tv receiver digital,0.0,0.0,neutral
346,maquina tosa,clipper,0.0,0.0,neutral
347,ótimo,excellent,1.0,1.0,positive
348,otima,kidnaps,0.0,0.0,neutral
349,embalagem inadequada,inadequate packaging,0.0,0.0,neutral
350,recomendo,I recommend,0.0,0.0,neutral
351,farol milha,lighthouse mile,0.0,0.0,neutral
352,recomendo,I recommend,0.0,0.0,neutral
353,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
354,so veio metade,only half came,-0.08333333333333333,0.5833333333333334,negative
355,ainda recebi produt,I still received product,0.0,0.0,neutral
356,produto difere,product differs,0.0,0.0,neutral
357,otimo pequeno,great little one,0.30625,0.625,positive
358,parceiro confiável,reliable partner,0.0,0.0,neutral
359,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
360,nota,use,0.0,0.0,neutral
361,bom,bom,0.4,0.0,positive
362,excelente produto,excellent product,1.0,1.0,positive
363,bom,bom,0.4,0.0,positive
364,pensar recomendação,think recommendation,0.0,0.0,neutral
365,péssima loja,bad store,-0.6999999999999998,0.6666666666666666,negative
366,otima,kidnaps,0.0,0.0,neutral
367,excelente,great,0.8,0.75,positive
368,recomendo fornecedo,recommend provided,0.0,0.0,neutral
369,luminárias,lamps,0.0,0.0,neutral
370,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
371,diferente,different,0.0,0.6,neutral
372,incorreto,incorrect,0.0,0.0,neutral
373,,,,,0
374,sk,sk,0.0,0.0,neutral
375,recomendo,I recommend,0.0,0.0,neutral
376,entrega rápida,fast delivery,0.2,0.6,neutral
377,bom,bom,0.4,0.0,positive
378,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
379,tudo ok,everything is OK,0.5,0.5,positive
380,produto bom,good product,0.7,0.6000000000000001,positive
381,entrega rápida qualidad,fast delivery quality,0.2,0.6,neutral
382,perto vencer,close win,0.8,0.4,positive
383,cobertor,blanket,0.0,0.0,neutral
384,comprem loja,buy store,0.0,0.0,neutral
385,recomendado,recommended,0.0,0.0,neutral
386,bonito,bonito,0.0,0.0,neutral
387,ainda recebi en,I still received en,0.0,0.0,neutral
388,excelente produto,excellent product,1.0,1.0,positive
389,excelente,great,0.8,0.75,positive
390,entrega rápida,fast delivery,0.2,0.6,neutral
391,passou prazo entrega,deadline passed,0.0,0.0,neutral
392,recebi produto,I received product,0.0,0.0,neutral
393,,,,,0
394,ótimo,excellent,1.0,1.0,positive
395,,,,,0
396,produto funciona,product works,0.0,0.0,neutral
397,,,,,0
398,reclamação,complaint,-0.3,0.2,negative
399,recomendo,I recommend,0.0,0.0,neutral
400,pedido chegou faltando,order arrived missing,-0.2,0.05,negative
401,bom,bom,0.4,0.0,positive
402,amei,loved it,0.7,0.8,positive
403,superou expectativas,exceeded expectations,0.0,0.0,neutral
404,quero avaliar,I want to evaluate,0.0,0.0,neutral
405,mercadoria errada,wrong merchandise,-0.5,0.9,negative
406,adoro comprar amer,I love to buy amer,0.5,0.6,positive
407,recomendo,I recommend,0.0,0.0,neutral
408,ótimo,excellent,1.0,1.0,positive
409,,,,,0
410,ainda testando,still testing,0.0,0.0,neutral
411,excelente serviço,excellent service,1.0,1.0,positive
412,nota,use,0.0,0.0,neutral
413,tudo certo,all right,0.2857142857142857,0.5357142857142857,neutral
414,cortina sala,room curtain,0.0,0.0,neutral
415,tudo conformes,all compliant,0.0,0.0,neutral
416,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
417,otima,kidnaps,0.0,0.0,neutral
418,recomendo,I recommend,0.0,0.0,neutral
419,,,,,0
420,boa,boa,0.4,0.0,positive
421,excelente,great,0.8,0.75,positive
422,horrível,horrible,-1.0,1.0,negative
423,,,,,0
424,solicitei devolução,I requested return,0.0,0.0,neutral
425,bom,bom,0.4,0.0,positive
426,entrega rapida,fast delivery,0.2,0.6,neutral
427,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
428,tecido fino,up to tecido,0.0,0.0,neutral
429,péssimo,terrible,-1.0,1.0,negative
430,excelente,great,0.8,0.75,positive
431,top,top,0.5,0.5,positive
432,maneiro,Cool,0.35,0.65,positive
433,gostei,I liked,0.6,0.8,positive
434,quantidade errada,wrong amount,-0.5,0.9,negative
435,nao entregam,do not deliver,0.0,0.0,neutral
436,produto falsificado,counterfeit product,0.0,0.0,neutral
437,recomendo,I recommend,0.0,0.0,neutral
438,produto ótimo,great product,0.8,0.75,positive
439,bom,bom,0.4,0.0,positive
440,bom recomendo,good recommend,0.7,0.6000000000000001,positive
441,eficiencia,efficiency,0.0,0.0,neutral
442,produto entregue,product delivered,0.0,0.0,neutral
443,recomendo,I recommend,0.0,0.0,neutral
444,ótimo produto,great product,0.8,0.75,positive
445,recebimento,receipt,0.0,0.0,neutral
446,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
447,recomendo,I recommend,0.0,0.0,neutral
448,produto diferente,different product,0.0,0.6,neutral
449,péssimo,terrible,-1.0,1.0,negative
450,bom,bom,0.4,0.0,positive
451,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
452,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
453,eficiente qualidade,efficient quality,0.0,0.0,neutral
454,satisfeito,pleased,0.5,1.0,positive
455,entrega prazo,delivery deadline,0.0,0.0,neutral
456,bom loja,good shop,0.7,0.6000000000000001,positive
457,perfeito,Perfect,1.0,1.0,positive
458,recomendo,I recommend,0.0,0.0,neutral
459,nao recomento,I don't recommend,0.0,0.0,neutral
460,compra entrega rápida,buy fast delivery,0.2,0.6,neutral
461,produto veio peça,product came piece,0.0,0.0,neutral
462,recomendo,I recommend,0.0,0.0,neutral
463,suspeito,suspect,0.0,0.0,neutral
464,nota,use,0.0,0.0,neutral
465,produto conforme anunciad,product as advertised,0.0,0.0,neutral
466,bom,bom,0.4,0.0,positive
467,,,,,0
468,boa,boa,0.4,0.0,positive
469,solicitei devolução,I requested return,0.0,0.0,neutral
470,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
471,boa,boa,0.4,0.0,positive
472,recomendo,I recommend,0.0,0.0,neutral
473,recebi produto,I received product,0.0,0.0,neutral
474,entrega rápida,fast delivery,0.2,0.6,neutral
475,tudo oerfeuto,all offer,0.0,0.0,neutral
476,otimo produto,great product,0.8,0.75,positive
477,ótimo produto,great product,0.8,0.75,positive
478,produto excelente,excellent product,1.0,1.0,positive
479,pedido entregue,order delivered,0.0,0.0,neutral
480,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
481,adorei produto,I loved the product,0.7,0.8,positive
482,entregaram lençóis,delivered sheets,0.0,0.0,neutral
483,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
484,entregue,delivered,0.0,0.0,neutral
485,nao recebi tudo,I didn't receive everything,0.0,0.0,neutral
486,pedido metade,half order,-0.16666666666666666,0.16666666666666666,negative
487,ótimo serviço,great service,0.8,0.75,positive
488,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
489,satisfeita,satisfied,0.5,1.0,positive
490,vendedor compromisso,seller commitment,0.0,0.0,neutral
491,ótimo,excellent,1.0,1.0,positive
492,assim,so,0.0,0.0,neutral
493,otimo,great,0.8,0.75,positive
494,recomendo,I recommend,0.0,0.0,neutral
495,excelente,great,0.8,0.75,positive
496,pessimo,very bad,-0.9099999999999998,0.8666666666666667,negative
497,bom,bom,0.4,0.0,positive
498,nao veio caixa,no box came,0.0,0.0,neutral
499,recomendo,I recommend,0.0,0.0,neutral
500,falto intem entrega,I miss delivery,0.0,0.0,neutral
501,ótimo,excellent,1.0,1.0,positive
502,ótima compra,Great buy,0.8,0.75,positive
503,supe recomendo produto,I highly recommend the product,0.16,0.5399999999999999,neutral
504,recomendo,I recommend,0.0,0.0,neutral
505,recomendo,I recommend,0.0,0.0,neutral
506,compra tranquila,quiet purchase,0.0,0.3333333333333333,neutral
507,compra venho faltan,buy I'm missing,-0.2,0.05,negative
508,propaganda enganosa,false advertising,-0.4000000000000001,0.6,negative
509,recebi produto errado,I received wrong product,-0.5,0.9,negative
510,entrega rapida,fast delivery,0.2,0.6,neutral
511,recomendo bom,I recommend good,0.7,0.6000000000000001,positive
512,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
513,parabéns,Happy birthday,0.8,1.0,positive
514,preço justo,fair price,0.7,0.9,positive
515,recomendo certeza,I definitely recommend,0.0,0.5,neutral
516,top,top,0.5,0.5,positive
517,,,,,0
518,ótima empresa,great company,0.8,0.75,positive
519,otmo vendor,otmo vendor,0.0,0.0,neutral
520,produto original,original product,0.375,0.75,positive
521,produto condiz es,product matches,0.0,0.0,neutral
522,positiva,positive,0.22727272727272727,0.5454545454545454,neutral
523,cinco estrelas,five stars,0.0,0.0,neutral
524,top,top,0.5,0.5,positive
525,ressalva,caveat,0.0,0.0,neutral
526,recomendo todos,I recommend everyone,0.0,0.0,neutral
527,recomendo,I recommend,0.0,0.0,neutral
528,negativo,negative,-0.3,0.4,negative
529,,,,,0
530,bom,bom,0.4,0.0,positive
531,ótimo,excellent,1.0,1.0,positive
532,,,,,0
533,dentro esperado,within expected,-0.1,0.4,negative
534,boa loja,good shop,0.7,0.6000000000000001,positive
535,,,,,0
536,produto devolvido,returned product,0.0,0.0,neutral
537,ficou dúvida,there was doubt,0.0,0.0,neutral
538,bom serviço,good job,0.7,0.6000000000000001,positive
539,recomendo,I recommend,0.0,0.0,neutral
540,confio recomendo,I trust I recommend,0.0,0.0,neutral
541,ok,ok,0.5,0.5,positive
542,pontual,one-off,0.0,0.0,neutral
543,péssimo fornecedor,bad supplier,-0.6999999999999998,0.6666666666666666,negative
544,reconendo,I recognize,0.0,0.0,neutral
545,estrelas,stars,0.0,0.0,neutral
546,agradecimento,acknowledgment,0.0,0.0,neutral
547,boa faca,good knife,0.7,0.6000000000000001,positive
548,carregador defeito,faulty charger,0.0,0.0,neutral
549,ótimo,excellent,1.0,1.0,positive
550,atendeu expectatica,met expectations,0.0,0.0,neutral
551,recomendo,I recommend,0.0,0.0,neutral
552,veio ilhós,came eyelets,0.0,0.0,neutral
553,notícias sobre enco,news about enco,0.0,0.0,neutral
554,recomento,I recommend,0.0,0.0,neutral
555,recomendo,I recommend,0.0,0.0,neutral
556,produto mal embalado,badly packaged product,-0.6999999999999998,0.6666666666666666,negative
557,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
558,dez,dez,0.0,0.0,neutral
559,boa entrega,good delivery,0.7,0.6000000000000001,positive
560,médio,average,-0.15,0.39999999999999997,negative
561,gostei,I liked,0.6,0.8,positive
562,hoje recebi,today I received,0.0,0.0,neutral
563,bom,bom,0.4,0.0,positive
564,aprovadissimo,very approved,0.2,0.3,neutral
565,otimo,great,0.8,0.75,positive
566,pagamento,payment,0.0,0.0,neutral
567,excelente,great,0.8,0.75,positive
568,bom,bom,0.4,0.0,positive
569,vc paga entregam,you pay deliver,0.0,0.0,neutral
570,ótimo,excellent,1.0,1.0,positive
571,otimo,great,0.8,0.75,positive
572,bom,bom,0.4,0.0,positive
573,,,,,0
574,avaliçao,evaluation,0.0,0.0,neutral
